Date,Product_ID,Product_Category,Region,Units_Sold,Price,Revenue
2024-05-10,1054,Home,East,11,434.45,4778.95
2024-12-31,1058,Toys,South,5,229.78,1148.9
2024-11-10,1002,Toys,West,11,316.77,3484.47
2022-05-02,1016,Toys,South,16,406.77,6508.32
2023-04-12,1077,Home,South,15,184.82,2772.2999999999997
2022-11-27,1077,Sports,North,6,330.61,1983.66
2022-03-29,1045,Toys,South,13,181.71,2362.23
2024-05-21,1037,Sports,South,16,324.93,5198.88
2022-05-11,1034,Sports,East,3,116.63,349.89
2024-02-09,1000,Electronics,West,18,489.14,8804.52
2022-12-10,1028,Home,North,1,47.33,47.33
2024-03-16,1003,Sports,West,17,257.56,4378.52
2023-01-21,1060,Home,West,6,150.29,901.74
2024-08-13,1096,Home,West,9,304.41,2739.69
2022-10-04,1016,Electronics,North,4,219.87,879.48
2023-04-05,1027,Home,South,7,160.27,1121.89
2022-01-22,1049,Sports,West,11,132.52,1457.72
2022-09-10,1089,Clothing,North,3,99.42,298.26
2024-01-18,1007,Sports,South,16,393.61,6297.76
2024-05-06,1033,Sports,West,6,118.88,713.28
2023-04-20,1058,Home,East,7,389.03,2723.21
2024-12-18,1017,Sports,North,12,247.67,2972.04
2023-05-26,1094,Clothing,West,7,45.39,317.73
2023-12-01,1058,Home,North,19,91.07,1730.33
2024-09-02,1026,Toys,East,16,447.52,7160.32
2022-07-09,1015,Sports,North,18,305.38,5496.84
2024-08-15,1009,Sports,South,10,100.32,1003.1999999999999
2023-11-18,1075,Electronics,West,1,354.84,354.84
2024-08-15,1021,Toys,North,8,413.4,3307.2
2023-07-17,1015,Toys,North,3,172.02,516.0600000000001
2024-04-11,1011,Clothing,West,16,282.73,4523.68
2023-10-09,1074,Toys,East,3,153.79,461.37
2022-01-21,1083,Electronics,East,2,49.23,98.46
2024-04-20,1050,Clothing,West,12,205.76,2469.12
2022-06-16,1000,Toys,West,8,378.2,3025.6
2023-01-23,1026,Clothing,South,19,234.75,4460.25
2023-08-24,1066,Toys,North,18,208.58,3754.44
2022-11-12,1011,Toys,North,15,189.34,2840.1
2022-01-14,1029,Toys,East,17,234.87,3992.79
2022-08-30,1008,Sports,South,18,165.93,2986.7400000000002
2024-02-16,1052,Toys,North,18,309.97,5579.460000000001
2023-07-19,1060,Sports,South,9,41.15,370.34999999999997
2024-06-16,1053,Home,West,5,405.62,2028.1
2022-04-02,1036,Electronics,North,11,94.85,1043.35
2024-08-13,1064,Clothing,West,4,320.39,1281.56
2023-05-24,1041,Clothing,East,10,230.44,2304.4
2024-02-15,1048,Home,East,4,389.01,1556.04
2022-02-04,1003,Toys,West,3,414.81,1244.43
2022-07-25,1063,Electronics,East,16,110.06,1760.96
2024-10-22,1078,Home,West,11,341.82,3760.02
2024-10-18,1050,Home,West,9,103.05,927.4499999999999
2023-07-20,1090,Clothing,West,1,70.76,70.76
2023-12-04,1071,Sports,East,10,465.85,4658.5
2023-02-06,1059,Sports,East,12,90.55,1086.6
2023-12-31,1086,Toys,East,2,121.78,243.56
2022-06-11,1078,Toys,West,15,73.86,1107.9
